order_id,sys_a_amount_attribute_1,date
44516715,20.0,2024-02-04
34286015,116.6999969,2024-07-07
90851690,50.0,2024-07-05
67286592,900.0,2024-07-30
15780875,1120.0,2024-08-14
88712053,101.0,2024-02-08
35877233,430.0,2024-06-08
62671578,1020.0,2024-07-08
50407375,150.0,2024-07-08
92497763,50.40000153,2024-08-13
85311511,65.0,2024-08-13
84045829,5.0,2024-08-13
27182625,15.0,2024-08-13
41460616,372.0,2024-08-25
69226073,100.0,2024-08-25
73484007,27.0,2024-08-26
67551234,3.0,2024-08-26
40138173,430.0,2024-08-26
70850839,70.0,2024-06-09
28352958,48.0,2024-08-26
29050472,1920.0,2024-08-26
75896254,24.0,2024-08-26
94744868,211.0,2024-08-27
39566472,2.0,2024-08-26
43994020,20.0,2024-08-26
74823105,370.0,2024-08-25
14854638,250.0,2024-08-26
78700075,64.0,2024-08-26
43520252,499.0,2024-08-26
28457757,4.199999809,2024-08-26
13739341,10500.0,2024-03-09
60548338,7000.0,2024-09-27
28291307,30.0,2024-11-10
43629865,90.0,2024-05-04
41686287,800.0,2024-11-04
78992025,102.0,2024-03-05
74514252,1000.0,2024-07-22
62447816,150.0,2024-07-22
94103714,2800.0,2024-07-25
81698225,300.0,2024-09-08
11499632,50.0,2024-06-08
40936510,130.0,2024-06-08
98335702,1800.0,2024-07-08
11502949,300.0,2024-08-13
64766578,1.399999976,2024-08-13
97773938,32.0,2024-08-13
91507618,20.0,2024-08-16
60827341,202.0,2024-08-26
82340925,29.0,2024-08-26
40583922,3111.0,2024-08-26
55882083,40.0,2024-08-26
76891609,168.8000031,2024-08-26
67263824,2.0,2024-08-27
43212586,144.0,2024-08-27
62098069,300.0,2024-08-26
13618725,6.0,2024-08-26
81768473,3.0,2024-08-26
96988196,15.0,2024-08-26
15364726,40.0,2024-08-26
65259380,351.0,2024-08-26
84972550,17.0,2024-08-26
71194233,127.0,2024-08-25
77234526,501.0,2024-09-10
33963035,21.0,2024-08-10
20349703,10400.0,2024-03-10
66937809,3126.0,2024-10-26
58637973,407.0,2024-11-16
73307871,127.0,2024-12-11
20197198,5500.0,2024-11-27
74727226,10.0,2024-03-12
97566778,1.399999976,2024-11-16
32616337,200.0,2024-11-18
36758479,3.0,2024-11-18
