order_id,sys_a_amount_attribute_1,date
98066571,1702.0,2024-07-29
14030073,1230.0,2024-07-25
22887533,1702.0,2024-07-31
84125765,1659.0,2024-07-27
84552176,1608.0,2024-07-28
22000171,1230.0,2024-07-25
56089011,1401.0,2024-07-23
92874374,1401.0,2024-07-23
39686511,1702.0,2024-07-31
30632581,1193.0,2024-07-29
76148515,1401.0,2024-07-23
18432521,303.0,2024-05-10
94777618,311.0,2024-09-10
61198447,311.0,2024-07-10
91924610,312.0,2024-07-10
50710558,311.0,2024-09-10
41892932,486.0,2024-10-10
49013395,311.0,2024-09-10
10539674,311.0,2024-07-10
59207121,502.0,2024-11-10
91225171,311.0,2024-09-10
24078615,311.0,2024-09-10
92875012,311.0,2024-07-10
27774093,311.0,2024-10-10
14490010,311.0,2024-09-10
54143135,311.0,2024-09-10
10698501,311.0,2024-09-10
15014507,311.0,2024-07-10
90311103,311.0,2024-09-10
96387495,235.0,2024-07-10
90396704,311.0,2024-09-10
33778118,311.0,2024-09-10
25058675,303.0,2024-06-10
62867409,417.0,2024-10-18
13187257,311.0,2024-07-10
38366597,311.0,2024-07-10
50152935,303.0,2024-07-10
82660824,311.0,2024-09-10
54798128,235.0,2024-07-10
93683949,502.0,2024-11-10
10147729,311.0,2024-07-10
65995646,311.0,2024-09-10
56094013,311.0,2024-07-10
82057286,235.0,2024-07-10
22186387,545.0,2024-01-10
70269554,311.0,2024-09-10
41781797,311.0,2024-09-10
61453602,311.0,2024-10-10
23625148,502.0,2024-03-10
39439946,303.0,2024-05-10
58533686,311.0,2024-09-10
69912880,276.0,2024-10-17
47832613,311.0,2024-10-10
63755977,311.0,2024-07-10
51937216,311.0,2024-09-10
92331811,311.0,2024-09-10
37207988,311.0,2024-09-10
75039847,235.0,2024-07-10
83989243,311.0,2024-09-10
78593065,311.0,2024-09-10
19798091,311.0,2024-07-10
30039007,303.0,2024-05-10
37952765,311.0,2024-09-10
98979829,311.0,2024-07-10
94458289,238.0,2024-07-10
42318730,311.0,2024-09-10
30632419,311.0,2024-10-10
32170483,311.0,2024-09-10
15188689,311.0,2024-10-10
87963111,235.0,2024-07-10
56492654,311.0,2024-10-10
35061380,311.0,2024-09-10
23405542,311.0,2024-10-10
88493482,311.0,2024-09-10
43570923,311.0,2024-09-10
64134031,311.0,2024-10-10
82036737,311.0,2024-09-10
19239122,502.0,2024-03-10
89258096,311.0,2024-07-10
62768137,311.0,2024-09-10
88076881,502.0,2024-03-10
25584344,303.0,2024-05-10
20008524,311.0,2024-10-10
90820351,311.0,2024-09-10
69949806,311.0,2024-09-10
30691246,311.0,2024-10-10
43929622,311.0,2024-09-10
87840279,311.0,2024-09-10
21630485,311.0,2024-07-10
10072158,311.0,2024-09-10
81298910,311.0,2024-07-10
50930138,545.0,2024-08-10
91399816,311.0,2024-10-10
96438735,235.0,2024-07-10
47293469,311.0,2024-07-10
34625185,311.0,2024-07-10
58467116,502.0,2024-03-10
85322049,311.0,2024-09-10
70873782,311.0,2024-09-10
42294641,303.0,2024-05-10
24060307,311.0,2024-07-10
54681238,311.0,2024-10-10
66461484,311.0,2024-09-10
23834982,235.0,2024-07-10
25490821,311.0,2024-09-10
84237891,311.0,2024-09-10
53194851,235.0,2024-07-10
77121530,311.0,2024-09-10
96714853,311.0,2024-07-10
73427453,311.0,2024-07-10
94603855,311.0,2024-07-10
33715434,311.0,2024-09-10
61612787,311.0,2024-07-10
32682083,311.0,2024-09-10
20115696,311.0,2024-10-10
49041978,311.0,2024-10-10
41115525,311.0,2024-07-10
99743030,502.0,2024-03-10
14225415,311.0,2024-09-10
12861963,312.0,2024-07-10
20430335,311.0,2024-09-10
45899520,311.0,2024-10-10
35239114,311.0,2024-07-10
25465358,311.0,2024-07-10
65879632,502.0,2024-03-10
33464908,311.0,2024-10-10
76626582,311.0,2024-10-10
46270912,311.0,2024-07-10
32753880,311.0,2024-10-10
67261970,311.0,2024-10-10
77206322,235.0,2024-07-10
94156551,278.0,2024-02-10
30586805,259.0,2024-01-10
12061764,949.0,2024-10-14
33125989,519.0,2024-02-10
84317399,519.0,2024-02-10
30854397,649.005,2024-06-28
95623191,1019.004,2024-06-30
73540924,1358.997,2024-06-28
87368786,1709.006,2024-06-27
72123144,209.003,2024-06-28
64124972,959.0,2024-06-30
80109207,538.997,2024-06-29
25109916,489.004,2024-06-30
65413380,849.005,2024-06-27
44758020,629.003,2024-06-27
63654138,558.999,2024-06-30
25068700,899.0,2024-06-30
39916519,899.002,2024-06-29
38890065,607.005,2024-06-28
55106492,808.999,2024-06-27
18061620,799.008,2024-06-30
54805888,454.997,2024-06-29
90225004,629.003,2024-06-27
79315512,718.998,2024-06-27
89119628,679.004,2024-06-26
95115928,378.998,2024-06-26
22894359,599.004,2024-06-28
12001295,479.0,2024-06-30
60500115,849.01,2024-06-28
33681511,2199.001,2024-06-30
16769309,1399.008,2024-06-30
12102935,718.998,2024-06-28
44219934,284.003,2024-06-29
27520464,798.997,2024-06-29
96437226,398.003,2024-06-29
86053076,1399.004,2024-06-27
95296293,899.0,2024-06-25
27517485,568.995,2024-06-29
52175189,1438.999,2024-06-29
21994134,999.002,2024-06-30
19414888,1018.999,2024-06-30
40699503,314.003,2024-06-29
99953929,479.0,2024-06-28
47937985,1435.997,2024-06-27
38714938,599.004,2024-06-30
39007862,1078.997,2024-06-27
93137517,798.998,2024-06-28
75813398,358.995,2024-06-26
25826030,949.001,2024-06-30
63530673,558.999,2024-06-27
60515960,431.004,2024-06-29
58277574,1274.0,2024-06-29
50323171,299.001,2024-06-26
10442249,998.996,2024-06-26
63303566,798.998,2024-06-29
32658970,1052.005,2024-06-27
85945807,998.996,2024-06-30
70734462,1049.003,2024-06-27
14952653,721.0,2024-06-30
54360410,764.001,2024-06-29
14180454,599.004,2024-06-30
32704762,823.998,2024-06-27
93322407,2340.012,2024-06-29
92251554,2879.005,2024-06-28
30942558,878.997,2024-06-27
21288783,1999.003,2024-06-30
76887699,798.998,2024-06-27
69364699,299.001,2024-06-29
68681644,479.0,2024-06-28
39080403,1698.996,2024-06-26
48460334,1349.0,2024-06-30
36003110,949.004,2024-06-30
92143227,764.001,2024-06-28
51444664,596.999,2024-06-25
90738811,479.0,2024-06-29
63396176,853.997,2024-06-30
47017439,1049.003,2024-06-28
46887906,1819.004,2024-06-27
68468914,929.996,2024-06-28
23513709,339.003,2024-06-30
60220042,419.003,2024-06-28
95866635,1099.0,2024-06-27
27146978,648.996,2024-06-28
55908777,989.005,2024-06-30
12389603,808.999,2024-06-25
70113964,998.996,2024-06-28
38219787,598.999,2024-06-27
21515556,763.997,2024-06-26
91113050,974.001,2024-06-29
73255637,448.997,2024-06-28
17211440,488.996,2024-06-28
