order_id,amount,date,comment
44516715,20.0,2024-02-04,The payment was not found in the corresponding financial report. Additional investigation is required.
34286015,116.6999969,2024-07-07,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved."
90851690,50.0,2024-07-05,"We found a partial payment, but the full transaction details are still missing."
67286592,900.0,2024-07-30,The discrepancy was due to an incorrect payment method. ItÕs now corrected and reconciled.
15780875,1120.0,2024-08-14,"The customer provided the correct payment reference, and the discrepancy was cleared."
88712053,101.0,2024-02-08,"The missing order ID has been found, and the data has been updated accordingly."
35877233,430.0,2024-06-08,"Please update the missing fields, and weÕll reprocess the transaction for reconciliation."
62671578,1020.0,2024-07-08,"The missing order ID has been found, and the data has been updated accordingly."
50407375,150.0,2024-07-08,"The system returned an error when processing the payment, so we need to reprocess it."
92497763,50.40000153,2024-08-13,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
85311511,65.0,2024-08-13,"We found a partial payment, but the full transaction details are still missing."
27182625,15.0,2024-08-13,The payment was not found in the corresponding financial report. Additional investigation is required.
41460616,372.0,2024-08-25,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
69226073,100.0,2024-08-25,The reconciliation has been completed. The records now align across all platforms.
73484007,27.0,2024-08-26,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved."
67551234,3.0,2024-08-26,"Its not been 3 months, wait and then raise for the issue"
28352958,48.0,2024-08-26,The payment reference provided doesnÕt match the systemÕs record. We need additional verification.
29050472,1920.0,2024-08-26,"The wrong account was initially credited, but the transaction has been rectified and processed correctly."
75896254,24.0,2024-08-26,The transaction needs to be manually confirmed before we can proceed with reconciliation.
94744868,211.0,2024-08-27,"The error was caused by incorrect data formatting, which has now been corrected."
39566472,2.0,2024-08-26,The payment reference provided doesnÕt match the systemÕs record. We need additional verification.
43994020,20.0,2024-08-26,The transaction appears to have been processed but wasnÕt recorded in the system. Further investigation needed.
74823105,370.0,2024-08-25,The reconciliation has been completed. The records now align across all platforms.
14854638,250.0,2024-08-26,The wrong transaction ID was used in the initial record. ItÕs now corrected.
78700075,64.0,2024-08-26,"The status has been updated, and all records now reflect accurate information and you can download the report again"
43520252,499.0,2024-08-26,We need the customerÕs payment reference to proceed with the investigation.
28457757,4.199999809,2024-08-26,"The error was caused by incorrect data formatting, which has now been corrected."
13739341,10500.0,2024-03-09,The wrong transaction ID was used in the initial record. ItÕs now corrected.
60548338,7000.0,2024-09-27,"We found a partial payment, but the full transaction details are still missing."
28291307,30.0,2024-11-10,"We found a partial payment, but the full transaction details are still missing."
43629865,90.0,2024-05-04,"The system returned an error when processing the payment, so we need to reprocess it."
41686287,800.0,2024-11-04,"The missing data was found, and all accounts are now balanced."
78992025,102.0,2024-03-05,"Please provide the correct transaction ID, and we will continue with the reconciliation process."
62447816,150.0,2024-07-22,The amount recorded does not match the expected payment. Please double-check the payment details.
94103714,2800.0,2024-07-25,We suggest checking with the payment provider to confirm if the payment was completed successfully.
81698225,300.0,2024-09-08,The payment status remains Òprocessing.Ó We need to wait for it to finalize before reconciling.
11499632,50.0,2024-06-08,"The missing data was found, and all accounts are now balanced."
40936510,130.0,2024-06-08,The issue has been reviewed and closed successfully after corrections were applied.
98335702,1800.0,2024-07-08,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
11502949,300.0,2024-08-13,"The missing order ID has been found, and the data has been updated accordingly."
64766578,1.399999976,2024-08-13,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved."
97773938,32.0,2024-08-13,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
91507618,20.0,2024-08-16,"The missing data was found, and all accounts are now balanced."
40583922,3111.0,2024-08-26,"The order ID and payment do not align with our records, and we are awaiting further confirmation."
55882083,40.0,2024-08-26,"The payment status is still showing as pending, and we need further clarification before resolving."
76891609,168.8000031,2024-08-26,Kindly check the payment gateway logs to identify any issues with the transaction.
67263824,2.0,2024-08-27,"The reconciliation process was interrupted, and we need to restart it to verify the data."
43212586,144.0,2024-08-27,"The reconciliation process was interrupted, and we need to restart it to verify the data."
62098069,300.0,2024-08-26,"The reconciliation process was interrupted, and we need to restart it to verify the data."
13618725,6.0,2024-08-26,Please verify the order details with the accounting team so we can finalize the reconciliation.
81768473,3.0,2024-08-26,The issue has been reviewed and closed successfully after corrections were applied.
96988196,15.0,2024-08-26,"The status has been updated, and all records now reflect accurate information and you can download the report again"
15364726,40.0,2024-08-26,"ThereÕs a discrepancy in the order details, and we need more time to resolve it."
65259380,351.0,2024-08-26,The transaction appears to have been processed but wasnÕt recorded in the system. Further investigation needed.
84972550,17.0,2024-08-26,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved."
71194233,127.0,2024-08-25,"The system returned an error when processing the payment, so we need to reprocess it."
77234526,501.0,2024-09-10,The payment status remains Òprocessing.Ó We need to wait for it to finalize before reconciling.
20349703,10400.0,2024-03-10,"The order and payment were recorded under different categories, so we need to reassign them for reconciliation."
66937809,3126.0,2024-10-26,We suggest checking with the payment provider to confirm if the payment was completed successfully.
58637973,407.0,2024-11-16,"The order was refunded due to a customer request, and the issue is now closed."
73307871,127.0,2024-12-11,"The comments provided donÕt match the transaction details, so we need further clarification."
20197198,5500.0,2024-11-27,The issue has been reviewed and closed successfully after corrections were applied.
74727226,10.0,2024-03-12,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy."
