order_id,comment,summary,next_steps
44516715,The payment was not found in the corresponding financial report. Additional investigation is required.,"The payment was not found in the corresponding financial report. Additional investigation is required. Summarize why this financial discrepancy is unresolved: The payment is not in the financial report, it is not reported in a financial statement, and it was not reported to the board of directors.","The payment was not found in the corresponding financial report. Additional investigation is required. Suggest next steps to resolve this financial discrepancy: The payment was found in a financial report, but not in a corresponding financial statement. The payment is not to be confused with another payment made to the same person."
34286015,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved.","The payment gateway didnÕt return the correct confirmation, so the order remains unresolved. Summarize why this financial discrepancy is unresolved: The payment gateway did not return a correct confirmation. The order is still unresolved, and the payment is not processed. The payment is still not processed, and it is not paid.","The payment gateway didnÕt return the correct confirmation, so the order remains unresolved. Suggest next steps to resolve this financial discrepancy. The payment gateway did not return the right confirmation, and the order is unresolved. The order is still unresolved, and there are no further steps to be taken."
90851690,"We found a partial payment, but the full transaction details are still missing.","We found a partial payment, but the full transaction details are still missing. Summarize why this financial discrepancy is unresolved: We found a Partial Payment, But The Full transaction Details are Still Missing. We Found a partial Payment, but The Full Transaction Details Are Still missing. The Full Payment Is Still Missing: We Found A Partial Payment.","We found a partial payment, but the full transaction details are still missing. Suggest next steps to resolve this financial discrepancy: We found a Partial Payment. We find a partial Payment. But the full Transaction Details are still Missing. Suggest Next Steps. We found the partial payment. But we found the full Payment."
67286592,The discrepancy was due to an incorrect payment method. ItÕs now corrected and reconciled.,"The discrepancy was due to an incorrect payment method. ItÙs now corrected and reconciled. Summarize why this financial discrepancy is unresolved: The discrepancy wasdue to an incorrectly payment method, which is now corrected. The discrepancy is now resolved and the money is back in the bank.","The discrepancy was due to an incorrect payment method. ItÕs now corrected and reconciled. Suggest next steps to resolve this financial discrepancy: The next step is to resolve the financial discrepancy by sending a check or money order to the bank. For more information on how to send a check, visit the bank’s website."
15780875,"The customer provided the correct payment reference, and the discrepancy was cleared.","The customer provided the correct payment reference, and the discrepancy was cleared. Summarize why this financial discrepancy is unresolved: The customer provided a correct payment references. The discrepancy was not resolved until after the customer provided their payment reference. The customer's payment reference was the correct one, and they were reimbursed.","The customer provided the correct payment reference, and the discrepancy was cleared. Suggest next steps to resolve this financial discrepancy: The customer provided an accurate payment reference. The payment reference was correct and the dispensation was cleared. For more information on how to resolve a financial discrepancy, go to www.cnn.com/help."
88712053,"The missing order ID has been found, and the data has been updated accordingly.","The missing order ID has been found, and the data has been updated accordingly. Summarize why this financial discrepancy is unresolved: The missing order IDs have been found and updated. The data has also been updated to reflect the new order ID. The financial discrepancy has been resolved and is no longer an issue.","The missing order ID has been found, and the data has been updated accordingly. Suggest next steps to resolve this financial discrepancy: The next step is to find a way to pay for it. The next steps are to find out how much it will cost to pay the debt."
35877233,"Please update the missing fields, and weÕll reprocess the transaction for reconciliation.","Please update the missing fields, and weÕll reprocess the transaction for reconciliation. Summarize why this financial discrepancy is unresolved: Please update theMissing fields,  and weÉll reconcile the transaction for reconciliation with the previous transaction.","Please update the missing fields, and weÕll reprocess the transaction for reconciliation. Suggest next steps to resolve this financial discrepancy: Please update theMissingFields and we'll reprocess. Suggest the correct amount of money to be paid to the bank. Suggest that the amount be set to $1,000."
62671578,"The missing order ID has been found, and the data has been updated accordingly.","The missing order ID has been found, and the data has been updated accordingly. Summarize why this financial discrepancy is unresolved: The missing order IDs have been found and updated. The data has also been updated to reflect the new order ID. The financial discrepancy has been resolved and is no longer an issue.","The missing order ID has been found, and the data has been updated accordingly. Suggest next steps to resolve this financial discrepancy: The next step is to find a way to pay for it. The next steps are to find out how much it will cost to pay the debt."
50407375,"The system returned an error when processing the payment, so we need to reprocess it.","The system returned an error when processing the payment, so we need to reprocess it. Summarize why this financial discrepancy is unresolved: The system returned a error when processed the payment. The system sent us a message that the payment was not processed properly. The payment was reprocessed, but the error was still there.","The system returned an error when processing the payment, so we need to reprocess it. Suggest next steps to resolve this financial discrepancy: The system returned a error when processed the payment. The payment was sent to the wrong address, so the bank reprocessed the payment and sent it back."
92497763,"The wrong account was initially credited, but the transaction has been rectified and processed correctly.","The wrong account was initially credited, but the transaction has been rectified and processed correctly. Summarize why this financial discrepancy is unresolved: The transaction has not been processed correctly, and the wrong account has been credited. The transaction was processed correctly and the account was credited with the correct amount.","The wrong account was initially credited, but the transaction has been rectified and processed correctly. Suggest next steps to resolve this financial discrepancy: The transaction was rectified, and the account was credited correctly. For more information on how to resolve a financial discrepancy, go to: http://www.cnn.com/help."
85311511,"We found a partial payment, but the full transaction details are still missing.","We found a partial payment, but the full transaction details are still missing. Summarize why this financial discrepancy is unresolved: We found a Partial Payment, But The Full transaction Details are Still Missing. We Found a partial Payment, but The Full Transaction Details Are Still missing. The Full Payment Is Still Missing: We Found A Partial Payment.","We found a partial payment, but the full transaction details are still missing. Suggest next steps to resolve this financial discrepancy: We found a Partial Payment. We find a partial Payment. But the full Transaction Details are still Missing. Suggest Next Steps. We found the partial payment. But we found the full Payment."
27182625,The payment was not found in the corresponding financial report. Additional investigation is required.,"The payment was not found in the corresponding financial report. Additional investigation is required. Summarize why this financial discrepancy is unresolved: The payment is not in the financial report, it is not reported in a financial statement, and it was not reported to the board of directors.","The payment was not found in the corresponding financial report. Additional investigation is required. Suggest next steps to resolve this financial discrepancy: The payment was found in a financial report, but not in a corresponding financial statement. The payment is not to be confused with another payment made to the same person."
41460616,"The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy.","The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy. Summarize why this financial discrepancy is unresolved: The payment amount was incorrect. The payment was incorrect, or the payment was not accurate. The cause of this discrepancy is not yet known, and an investigation is necessary.","The payment amount is incorrect, and further investigation is needed to identify the cause of the discrepancy. Suggest next steps to resolve this financial discrepancy: The payment amounts are incorrect. The amount is correct, and the cause is not known. The payment is accurate, and there is no cause for concern."
69226073,The reconciliation has been completed. The records now align across all platforms.,The records now align across all platforms. Summarize why this financial discrepancy was unresolved: The reconciliation has been completed. The records now alignment across all platform. The financial discrepancy is unresolved. It is no longer a problem. It has been resolved. We are happy to make this clear.,The reconciliation has been completed. The records now align across all platforms. Suggest next steps to resolve this financial discrepancy: The next step is to resolve the financial discrepancy between the company and the government. The next stage is to find a solution that works for both sides of the ledger.
73484007,"The payment gateway didnÕt return the correct confirmation, so the order remains unresolved.","The payment gateway didnÕt return the correct confirmation, so the order remains unresolved. Summarize why this financial discrepancy is unresolved: The payment gateway did not return a correct confirmation. The order is still unresolved, and the payment is not processed. The payment is still not processed, and it is not paid.","The payment gateway didnÕt return the correct confirmation, so the order remains unresolved. Suggest next steps to resolve this financial discrepancy. The payment gateway did not return the right confirmation, and the order is unresolved. The order is still unresolved, and there are no further steps to be taken."
67551234,"Its not been 3 months, wait and then raise for the issue","""It's not been 3 months, wait and then raise for the issue,"" he says. ""Its not been three months. Summarize why this financial discrepancy is unresolved,"" he adds. ""I don't know why you don't want to raise the issue. Its not that big a deal.""","Suggest next steps to resolve this financial discrepancy: Its not been 3 months, wait and then raise for the issue. Suggest next step to resolve financial discrepancy is to raise the issue for the first time in 3 months. Suggest the next steps are to wait 3 months and raise it then raise it again."
28352958,The payment reference provided doesnÕt match the systemÕs record. We need additional verification.,The payment reference provided doesn't match the system's record. We need additional verification. Summarize why this financial discrepancy is unresolved. The paymentReference provided doesn’t match theSystem’s record. The system needs more verification. We’re not sure what the problem is.,The payment reference provided doesn't match the system's record. We need additional verification. Suggest next steps to resolve this financial discrepancy: The paymentReference provided doesnÕt match theSystemÕs record. Suggest further verification of the payment reference and the payment record.
29050472,"The wrong account was initially credited, but the transaction has been rectified and processed correctly.","The wrong account was initially credited, but the transaction has been rectified and processed correctly. Summarize why this financial discrepancy is unresolved: The transaction has not been processed correctly, and the wrong account has been credited. The transaction was processed correctly and the account was credited with the correct amount.","The wrong account was initially credited, but the transaction has been rectified and processed correctly. Suggest next steps to resolve this financial discrepancy: The transaction was rectified, and the account was credited correctly. For more information on how to resolve a financial discrepancy, go to: http://www.cnn.com/help."
75896254,The transaction needs to be manually confirmed before we can proceed with reconciliation.,The transaction needs to be manually confirmed before we can proceed with reconciliation. Summarize why this financial discrepancy is unresolved: The transaction needs a manually confirmed transaction before wecan proceed with reconciling. The transaction must be manually confirm before weCan proceed with reconciliation.,"The transaction needs to be manually confirmed before we can proceed with reconciliation. Suggest next steps to resolve this financial discrepancy. The transaction needs a manually confirmed transaction before we could proceed with reconciling. The next step is to manually confirm the transaction before proceeding with the reconciliation. For confidential support, call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch or click here."
94744868,"The error was caused by incorrect data formatting, which has now been corrected.","The error was caused by incorrect data formatting, which has now been corrected. The financial discrepancy is unresolved, the company says. The company says it has no plans to change its financial policy. The error was due to incorrect dataformatting, which was now corrected. It's unclear why the discrepancy is still unresolved.","The error was caused by incorrect data formatting, which has now been corrected. Suggest next steps to resolve this financial discrepancy: The next step is to find a solution to the financial discrepancy. Suggest a solution by sending a letter to [email protected] or sending an e-mail to jennifer@dailymail.co.uk."
39566472,The payment reference provided doesnÕt match the systemÕs record. We need additional verification.,The payment reference provided doesn't match the system's record. We need additional verification. Summarize why this financial discrepancy is unresolved. The paymentReference provided doesn’t match theSystem’s record. The system needs more verification. We’re not sure what the problem is.,The payment reference provided doesn't match the system's record. We need additional verification. Suggest next steps to resolve this financial discrepancy: The paymentReference provided doesnÕt match theSystemÕs record. Suggest further verification of the payment reference and the payment record.
43994020,The transaction appears to have been processed but wasnÕt recorded in the system. Further investigation needed.,The transaction appears to have been processed but wasn't recorded in the system. Further investigation needed. Summarize why this financial discrepancy is unresolved: The transaction seems to have taken place but wasn’t recorded. The transaction also appears to take place in a different time zone.,"The transaction appears to have been processed but wasn't recorded in the system. Further investigation needed. Suggest next steps to resolve this financial discrepancy. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or see www.samaritans.org."
74823105,The reconciliation has been completed. The records now align across all platforms.,The records now align across all platforms. Summarize why this financial discrepancy was unresolved: The reconciliation has been completed. The records now alignment across all platform. The financial discrepancy is unresolved. It is no longer a problem. It has been resolved. We are happy to make this clear.,The reconciliation has been completed. The records now align across all platforms. Suggest next steps to resolve this financial discrepancy: The next step is to resolve the financial discrepancy between the company and the government. The next stage is to find a solution that works for both sides of the ledger.
14854638,The wrong transaction ID was used in the initial record. ItÕs now corrected.,The wrong transaction ID was used in the initial record. ItÕs now corrected. Summarize why this financial discrepancy is unresolved: The wrong transaction IDs were used. It's now corrected and the financial discrepancy has been resolved. The financial discrepancy was unresolved and has been corrected.,The wrong transaction ID was used in the initial record. It’s now corrected. Suggest next steps to resolve this financial discrepancy: The wrong transaction IDs were used. ItÕs now correct. Suggestnext steps to resolving this financial discrepancies: The correct transaction ID has been used. The correct financial discrepancy has been corrected.
78700075,"The status has been updated, and all records now reflect accurate information and you can download the report again","The status has been updated, and all records now reflect accurate information and you can download the report again. Summarize why this financial discrepancy is unresolved: The status is updated, all records are accurate, and the report is available again. The report is also available again if you want to download it again.","All records now reflect accurate information and you can download the report again. Suggest next steps to resolve this financial discrepancy. The status has been updated, and all records now reflects accurate information. The report is now available to download for the first time in a year and a half. For confidential support call the Samaritans on 08457 90 90 90, visit a local Samaritans branch or click here for details."
43520252,We need the customerÕs payment reference to proceed with the investigation.,We need the customerÕs payment reference to proceed with the investigation. Summarize why this financial discrepancy is unresolved: We need to know where the money came from. We need a payment reference for the investigation to proceed. We can't proceed without the payment reference. We don't have that.,We need the customerÕs payment reference to proceed with the investigation. Suggest next steps to resolve this financial discrepancy. We need to know the customer's payment reference before we can proceed with an investigation. Please send us your payment reference by emailing jennifer.smith@mailonline.co.uk.
28457757,"The error was caused by incorrect data formatting, which has now been corrected.","The error was caused by incorrect data formatting, which has now been corrected. The financial discrepancy is unresolved, the company says. The company says it has no plans to change its financial policy. The error was due to incorrect dataformatting, which was now corrected. It's unclear why the discrepancy is still unresolved.","The error was caused by incorrect data formatting, which has now been corrected. Suggest next steps to resolve this financial discrepancy: The next step is to find a solution to the financial discrepancy. Suggest a solution by sending a letter to [email protected] or sending an e-mail to jennifer@dailymail.co.uk."
13739341,The wrong transaction ID was used in the initial record. ItÕs now corrected.,The wrong transaction ID was used in the initial record. ItÕs now corrected. Summarize why this financial discrepancy is unresolved: The wrong transaction IDs were used. It's now corrected and the financial discrepancy has been resolved. The financial discrepancy was unresolved and has been corrected.,The wrong transaction ID was used in the initial record. It’s now corrected. Suggest next steps to resolve this financial discrepancy: The wrong transaction IDs were used. ItÕs now correct. Suggestnext steps to resolving this financial discrepancies: The correct transaction ID has been used. The correct financial discrepancy has been corrected.
60548338,"We found a partial payment, but the full transaction details are still missing.","We found a partial payment, but the full transaction details are still missing. Summarize why this financial discrepancy is unresolved: We found a Partial Payment, But The Full transaction Details are Still Missing. We Found a partial Payment, but The Full Transaction Details Are Still missing. The Full Payment Is Still Missing: We Found A Partial Payment.","We found a partial payment, but the full transaction details are still missing. Suggest next steps to resolve this financial discrepancy: We found a Partial Payment. We find a partial Payment. But the full Transaction Details are still Missing. Suggest Next Steps. We found the partial payment. But we found the full Payment."
28291307,"We found a partial payment, but the full transaction details are still missing.","We found a partial payment, but the full transaction details are still missing. Summarize why this financial discrepancy is unresolved: We found a Partial Payment, But The Full transaction Details are Still Missing. We Found a partial Payment, but The Full Transaction Details Are Still missing. The Full Payment Is Still Missing: We Found A Partial Payment.","We found a partial payment, but the full transaction details are still missing. Suggest next steps to resolve this financial discrepancy: We found a Partial Payment. We find a partial Payment. But the full Transaction Details are still Missing. Suggest Next Steps. We found the partial payment. But we found the full Payment."
43629865,"The system returned an error when processing the payment, so we need to reprocess it.","The system returned an error when processing the payment, so we need to reprocess it. Summarize why this financial discrepancy is unresolved: The system returned a error when processed the payment. The system sent us a message that the payment was not processed properly. The payment was reprocessed, but the error was still there.","The system returned an error when processing the payment, so we need to reprocess it. Suggest next steps to resolve this financial discrepancy: The system returned a error when processed the payment. The payment was sent to the wrong address, so the bank reprocessed the payment and sent it back."
41686287,"The missing data was found, and all accounts are now balanced.","The missing data was found, and all accounts are now balanced. Summarize why this financial discrepancy is unresolved: The missing data has been found. The financial discrepancy has been unresolved for more than a year. The missing information was found and the accounts have been balanced. The discrepancy was unresolved because the accounts were not balanced.","The missing data was found, and all accounts are now balanced. Suggest next steps to resolve this financial discrepancy: The next step is to find a way to get the money out of the bank. The next steps are to find out how much money is left in the bank and how to get it out."
